Unnamed: 0,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,seats,max_power (in bph),Mileage Unit,Mileage,Engine (CC),car_age,price_per_km
0,Maruti,2014,450000,145500,Diesel,Individual,Manual,First Owner,5,74.0,kmpl,23.4,1248,11,3.0927835051546393
2,Hyundai,2010,225000,127000,Diesel,Individual,Manual,First Owner,5,90.0,kmpl,23.0,1396,15,1.7716535433070866
4,Hyundai,2017,440000,45000,Petrol,Individual,Manual,First Owner,5,81.86,kmpl,20.14,1197,8,9.777777777777779
7,Toyota,2011,350000,90000,Diesel,Individual,Manual,First Owner,5,67.1,kmpl,23.59,1364,14,3.888888888888889
8,Ford,2013,200000,169000,Diesel,Individual,Manual,First Owner,5,68.1,kmpl,20.0,1399,12,1.183431952662722
15,Hyundai,2012,500000,53000,Diesel,Individual,Manual,Second Owner,5,90.0,kmpl,23.0,1396,13,9.433962264150944
16,Maruti,2002,150000,80000,Petrol,Individual,Manual,Second Owner,5,46.3,kmpl,19.7,796,23,1.875
17,Hyundai,2016,680000,100000,Diesel,Individual,Manual,First Owner,5,88.73,kmpl,22.54,1396,9,6.8
18,Mahindra,2011,174000,100000,Diesel,Individual,Manual,Second Owner,5,64.1,kmpl,21.0,1461,14,1.74
21,Maruti,2012,600000,72000,Diesel,Individual,Manual,First Owner,5,88.8,kmpl,21.5,1248,13,8.333333333333334
22,Tata,2018,500000,35000,Petrol,Individual,Manual,First Owner,5,83.81,kmpl,20.3,1199,7,14.285714285714286
23,Maruti,2016,575000,45000,Petrol,Individual,Manual,First Owner,5,83.1,kmpl,21.4,1197,9,12.777777777777779
46,Maruti,2018,850000,64000,Petrol,Dealer,Manual,First Owner,5,103.25,kmpl,20.65,1462,7,13.28125
51,Tata,2011,265000,120000,Diesel,Individual,Manual,First Owner,5,88.8,kmpl,21.12,1248,14,2.2083333333333335
52,Hyundai,2011,190000,110000,Petrol,Individual,Manual,Third Owner,5,78.9,kmpl,20.36,1197,14,1.7272727272727273
53,Hyundai,2013,425000,60000,Diesel,Individual,Manual,First Owner,5,88.76,kmpl,21.27,1396,12,7.083333333333333
56,Maruti,2019,650000,30000,Petrol,Individual,Manual,First Owner,5,83.1,kmpl,21.4,1197,6,21.666666666666668
57,Volkswagen,2016,540000,40000,Diesel,Individual,Manual,First Owner,5,108.495,kmpl,22.0,1498,9,13.5
59,Maruti,2018,448000,30000,Petrol,Individual,Automatic,First Owner,5,67.0,kmpl,20.51,998,7,14.933333333333334
